UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,max,std,count,percentile_10,percentile_90
210606,PUNO,HUANCANE,ROSASPATA,0.49176273345947263,-0.6154495477676392,1.2659639120101929,0.6563301622984343,10,-0.5704885125160217,1.1676427125930786
040805,AREQUIPA,LA UNION,PAMPAMARCA,0.5012873581477574,-0.989827573299408,5.290160655975342,1.5955365171877018,28,-0.7011335492134094,2.7770302295684814
210603,PUNO,HUANCANE,HUATASANI,0.5306475162506104,0.5306475162506104,0.5306475162506104,0.0,1,0.5306475162506104,0.5306475162506104
080701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,0.5526803429447004,-1.9254029989242554,4.107905864715576,1.6094918391280983,67,-1.125686526298523,3.2624053955078125
150729,LIMA,HUAROCHIRI,SANTIAGO DE ANCHUCAYA,0.5630844831466675,-0.007376094814389944,1.262173056602478,0.5262113892683304,3,0.08099041134119034,1.0966297388076782
090607,HUANCAVELICA,HUAYTARA,PILPICHACA,0.5653173368271083,-1.0481268167495728,3.873870849609375,1.1459370246679224,73,-0.592634379863739,2.0621869564056396
180105,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,0.5703142065750925,-5.149725437164307,10.575005531311035,4.4378731008596155,19,-3.991091728210449,7.367159843444824
030305,APURIMAC,ANTABAMBA,OROPESA,0.5786885970678085,-1.771682620048523,4.591855525970459,1.3699866315844929,39,-0.8028830289840698,2.298989772796631
090401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,0.5898083717592301,-1.6986171007156372,5.643993377685547,1.724860522227563,31,-1.2683566808700562,2.7158901691436768
150705,LIMA,HUAROCHIRI,CHICLA,0.5918732166290284,-0.696951687335968,2.9274520874023438,1.0661990953920482,10,-0.47292837500572205,2.009014129638672
180203,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,0.6147050327724881,-3.4509923458099365,6.824768543243408,3.657727330036623,9,-3.254547595977783,5.3531365394592285
151018,LIMA,YAUYOS,LARAOS,0.6342099996713492,-1.1241880655288696,5.099874973297119,2.000892868713422,13,-1.0904874801635742,3.797562837600708
151017,LIMA,YAUYOS,HUAÑEC,0.6361337304115295,0.6361337304115295,0.6361337304115295,0.0,1,0.6361337304115295,0.6361337304115295
120807,JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN,0.669257337396795,0.043498117476701736,1.5409984588623047,0.449378047823929,22,0.11459406465291977,1.3121942281723022
210203,PUNO,AZANGARO,ARAPA,0.6976937380704012,-0.7198633551597595,1.9800243377685547,0.7550442288795159,11,-0.16054587066173553,1.5698055028915405
040406,AREQUIPA,CASTILLA,CHOCO,0.7015647888183594,-3.52129864692688,12.956435203552246,4.489646372188399,32,-2.982780933380127,7.9772796630859375
210807,PUNO,MELGAR,ORURILLO,0.7304065410907452,-0.936363697052002,2.273839235305786,0.9763750377241468,13,-0.3861476480960846,1.957680344581604
081204,CUSCO,QUISPICANCHI,CCARHUAYO,0.7435324192047119,-1.6217490434646606,3.9779348373413086,1.7701301545316608,10,-1.390472412109375,2.7750487327575684
210107,PUNO,PUNO,COATA,0.7495673894882202,0.3038785755634308,1.195256233215332,0.44568882882595084,2,0.39301633834838867,1.1061184406280518
211104,PUNO,SAN ROMAN,CARACOTO,0.7515048980712891,0.3879424035549164,1.0855435132980347,0.20159663759573704,11,0.5139893889427185,1.0319290161132812
150708,LIMA,HUAROCHIRI,HUANZA,0.7633481502532959,-0.7392763495445251,2.3554556369781494,0.9145203800377559,10,-0.049263812601566315,2.245753288269043
210605,PUNO,HUANCANE,PUSI,0.7702701091766357,0.3779044449329376,1.1484624147415161,0.2832346939094686,6,0.4908425807952881,1.1452910900115967
210601,PUNO,HUANCANE,HUANCANE,0.7834110993605393,-0.21341878175735474,2.1764752864837646,0.5372388757127012,13,0.3512387275695801,1.237818956375122
080504,CUSCO,CANAS,LANGUI,0.7956551710764567,-0.14697504043579102,2.8795604705810547,0.985127016653914,6,0.04666943848133087,1.9075320959091187
211101,PUNO,SAN ROMAN,JULIACA,0.8019646864670974,-0.1288759857416153,1.8242555856704712,0.5759299420161119,13,0.2289532721042633,1.5434882640838623
080502,CUSCO,CANAS,CHECCA,0.8062452428481158,-0.33523643016815186,2.0408568382263184,0.7715032927560033,17,-0.07404775172472,1.7809633016586304
080305,CUSCO,ANTA,HUAROCONDO,0.8452559879847935,-1.1537342071533203,3.710796356201172,1.739118871864196,7,-0.9522221684455872,3.0780467987060547
210202,PUNO,AZANGARO,ACHAYA,0.84588623046875,0.6009893417358398,1.1253786087036133,0.22384597570012657,5,0.629629373550415,1.1176338195800781
230407,TACNA,TARATA,TARUCACHI,0.8508812785148621,-3.589359998703003,4.894228458404541,3.023056231962804,4,-2.3339672088623047,3.8769712448120117
211105,PUNO,SAN ROMAN,SAN MIGUEL,0.8510890603065491,0.45316004753112793,1.5047602653503418,0.41190100049716655,4,0.48208004236221313,1.322394847869873
210205,PUNO,AZANGARO,CAMINACA,0.8575294812520345,0.6962943077087402,1.0421274900436401,0.11331152605169056,6,0.7359691858291626,0.9915446639060974
210902,PUNO,MOHO,CONIMA,0.8609167337417603,-0.29111024737358093,2.012943744659424,1.1520269960165024,2,-0.06070484220981598,1.7825382947921753
210901,PUNO,MOHO,MOHO,0.8680088784959581,-0.32897642254829407,3.2114241123199463,0.9440070414722577,18,0.026312323287129402,2.335730791091919
210201,PUNO,AZANGARO,AZANGARO,0.873938242594401,-0.4024944603443146,1.6694554090499878,0.5089995787058207,24,0.14857301115989685,1.383744239807129
151002,LIMA,YAUYOS,ALIS,0.9246362050374349,-0.6355389952659607,2.7707128524780273,1.2490907219701322,6,-0.46430671215057373,2.480381965637207
210703,PUNO,LAMPA,CALAPUJA,0.9613090753555298,0.8196349740028381,1.1022613048553467,0.11269853763171611,4,0.84013432264328,1.0821950435638428
